datetime_window,x_mean,y_mean,z_mean,ACC_vm_min,ACC_vm_max,ACC_vm_std,ACC_ForBack_Angle,ACC_dominantFr_x,ACC_dominantFr_z,ACC_entropy_x,ACC_power_0_25_1_x,prediction
2023-11-27 14:17:12.798,-0.9533854166666668,-0.4140494791666668,-0.11958333333333333,0.793416548780319,1.2265846158657265,0.08114429853655199,6.495307977250733,0.625,0.625,6.038561857624129,0.043960726186218345,Walk
2023-11-27 14:17:16.819,-0.9511458333333332,-0.4415104166666666,-0.10299479166666668,0.793416548780319,1.2391291622462794,0.091267614297908,5.552015689091646,0.75,0.5,6.146110703791867,0.02649442315619119,Walk
2023-11-27 14:17:20.840,-0.9884895833333331,-0.395625,-0.0946875,0.8059717031538527,1.3405819000453372,0.09428951682898722,5.015066383234468,0.625,0.75,6.0461107759265635,0.032025940144737926,Walk
2023-11-27 14:17:24.863,-0.9640104166666668,-0.4166927083333334,-0.10651041666666668,0.8059717031538527,1.3405819000453372,0.08676998459661511,5.700163900057673,0.75,0.75,6.053659622094328,0.049823721567176744,Walk
2023-11-27 14:17:28.884,-0.9214843750000001,-0.4616406249999999,-0.13841145833333332,0.8372345207856272,1.2175335587078744,0.06715397203899542,7.55860919507098,0.625,0.625,6.031013011456365,0.03452746402213255,Walk
2023-11-27 14:17:32.905,-0.931484375,-0.44901041666666663,-0.13781249999999998,0.828947606374844,1.2375300308505424,0.07170381093970025,7.468963151821858,0.5,0.5,6.061208525969829,0.05600464728735705,Walk
2023-11-27 14:17:36.928,-0.9327864583333334,-0.4459375,-0.08815104166666668,0.5876998958096915,1.315619742170808,0.11451324077227952,4.780598968699607,0.625,0.625,6.04611076149963,0.04142407004291457,Walk
2023-11-27 14:17:40.950,-0.9440104166666669,-0.42348958333333336,-0.06778645833333335,0.5876998958096915,1.315619742170808,0.11184648076974728,3.6912571680539408,0.625,0.625,5.9424655394413906,0.08228700262433808,Walk
2023-11-27 14:17:44.972,-0.9547656250000002,-0.4338802083333333,-0.07989583333333333,0.7543367815735371,1.226974342570532,0.08324739475168942,4.3032198775334365,0.5,0.5,5.926110819207395,0.0595613339412998,Walk
2023-11-27 14:17:48.992,-0.9498437499999998,-0.4470052083333333,-0.09322916666666668,0.7543367815735371,1.2637535460577791,0.09859071431305619,5.012239251611616,0.625,0.375,5.838562016320458,0.0499386975359998,Walk
2023-11-27 14:17:53.015,-0.9452083333333334,-0.4310156249999999,-0.12218750000000002,0.7627763758003827,1.2637535460577791,0.08667064215729196,6.601479937040253,0.625,0.625,5.752661154943452,0.03554217893745669,Walk
2023-11-27 14:17:57.036,-0.9657812499999998,-0.3754687500000001,-0.1390625,0.8215392612727038,1.2397447155101797,0.08251140549874988,7.509680473663867,0.625,0.625,6.033659636521268,0.060805456861414524,Walk
2023-11-27 14:18:01.059,-0.9795572916666666,-0.3504947916666668,-0.10244791666666667,0.8215392612727038,1.2397447155101797,0.08685331761405717,5.525788793722552,0.625,0.5,6.0310130258833,0.0699045801237442,Walk
2023-11-27 14:18:05.080,-0.9671354166666667,-0.39989583333333334,-0.062890625,0.7392990210562451,1.2120374708436892,0.08424162602144254,3.388540040195519,0.625,0.625,5.931013098017997,0.036408266032778566,Walk
2023-11-27 14:18:09.102,-0.9421093750000001,-0.4695572916666667,-0.04559895833333333,0.6422373426183441,1.30760547777358,0.11288281541062367,2.4571231046298614,0.625,0.625,5.843464237423316,0.043394263899367326,Walk
2023-11-27 14:18:13.124,-0.9456249999999998,-0.4604427083333333,-0.05549479166666667,0.6422373426183441,1.30760547777358,0.11045840068238863,2.9857093852894647,0.625,0.625,5.756146281545544,0.03315671943556423,Walk
2023-11-27 14:18:17.145,-0.9594270833333334,-0.44276041666666666,-0.06481770833333333,0.7550556598550644,1.2497042835971126,0.09634102128506615,3.4730441871785818,0.625,0.625,5.798562045174338,0.03225690491937035,Walk
2023-11-27 14:18:21.167,-0.9507552083333333,-0.46059895833333336,-0.07002604166666666,0.7550556598550644,1.2497042835971126,0.09648760859697592,3.7596382243713973,0.625,0.625,5.789596032371134,0.03642656114096491,Walk
2023-11-27 14:18:25.188,-0.9397135416666668,-0.47385416666666663,-0.07177083333333333,0.7449418919009909,1.2402095975762075,0.09315068973753364,3.867164036772702,0.625,0.625,5.73001451545162,0.03223815282524857,Walk
2023-11-27 14:18:29.211,-0.936875,-0.4816145833333334,-0.06614583333333333,0.7449418919009909,1.2402095975762075,0.09941513805315709,3.5590299949000617,0.625,0.625,5.798562045174338,0.04405688424252306,Walk
2023-11-27 14:18:33.232,-0.9472395833333332,-0.4643229166666667,-0.0709375,0.7504067907225387,1.246405965980286,0.09678707636600666,3.8076561989150153,0.625,0.625,5.971013069164118,0.04071516432814745,Walk
2023-11-27 14:18:37.254,-0.954375,-0.463828125,-0.06578125,0.7609961405079895,1.3011689497719712,0.10075787751151317,3.511020513724286,0.625,0.625,6.0126609962471065,0.023142197120348554,Walk
2023-11-27 14:18:41.276,-0.9635677083333333,-0.440859375,-0.05645833333333334,0.7601356858158249,1.3011689497719712,0.10601679680926138,3.0185906218509335,0.625,0.625,6.0461107759265635,0.02544375498973129,Walk
2023-11-27 14:18:45.297,-0.9366145833333336,-0.4784635416666665,-0.05013020833333333,0.7601356858158249,1.2767669069994834,0.09885098314183279,2.694965496530574,0.625,0.625,6.072660967393222,0.05876777057981731,Walk
2023-11-27 14:18:49.320,-0.9450520833333332,-0.44846354166666663,-0.09375,0.7751279226301762,1.2981006800067658,0.09694001321232742,5.015237551752463,0.625,0.125,6.188757314429824,0.08501456886703769,Walk
